Importing NLTK
Done!
Getting CMUDict
Done!
Getting tagged words from Treebank corpus
         4627650 function calls (4620864 primitive calls) in 6.715 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    463/5    0.001    0.000    6.708    1.342 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
     2032    0.001    0.000    0.002    0.000 ntpath.py:59(_get_dot)
      201    0.001    0.000    0.034    0.000 data.py:313(join)
     1683    0.001    0.000    0.002    0.000 ntpath.py:41(_get_sep)
        7    0.001    0.000    0.218    0.031 __init__.py:1(<module>)
      420    0.001    0.000    0.002    0.000 {built-in method any}
      425    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:268(__exit__)
      113    0.001    0.000    0.006    0.000 data.py:997(__init__)
      397    0.001    0.000    0.184    0.000 <frozen importlib._bootstrap>:1934(find_spec)
      113    0.001    0.000    0.028    0.000 data.py:304(open)
      724    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:45(_r_long)
  381/380    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
      164    0.001    0.000    0.002    0.000 compat.py:425(python_2_unicode_compatible)
      666    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:30(_relax_case)
     1313    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1970    0.001    0.000    0.001    0.000 {built-in method min}
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1591(__init__)
     1453    0.001    0.000    0.001    0.000 sre_parse.py:138(__len__)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
        1    0.001    0.001    0.080    0.080 __init__.py:54(<module>)
      268    0.001    0.000    0.001    0.000 {built-in method add_docstring}
      203    0.001    0.000    0.026    0.000 data.py:283(__init__)
       64    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5EB65E78}
      397    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap>:1423(find_spec)
     1477    0.001    0.000    0.001    0.000 ntpath.py:65(_get_colon)
     2312    0.001    0.000    0.001    0.000 {built-in method release_lock}
      725    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      305    0.001    0.000    0.001    0.000 sre_parse.py:307(_escape)
        1    0.001    0.001    0.025    0.025 api.py:404(<listcomp>)
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
      421    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
       63    0.001    0.000    0.001    0.000 sre_compile.py:408(<listcomp>)
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:732(__enter__)
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:842(parent)
      495    0.001    0.000    0.001    0.000 {built-in method setattr}
      156    0.001    0.000    0.036    0.000 sre_compile.py:548(_code)
      960    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1267    0.001    0.000    0.001    0.000 ntpath.py:47(_get_altsep)
    362/5    0.001    0.000    6.710    1.342 <frozen importlib._bootstrap>:1122(_exec)
     1446    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      425    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:257(__init__)
       99    0.001    0.000    0.001    0.000 {built-in method is_builtin}
        2    0.001    0.000    0.017    0.008 os.py:292(walk)
     1061    0.001    0.000    0.001    0.000 ntpath.py:35(_get_empty)
      113    0.001    0.000    0.002    0.000 data.py:1387(_check_bom)
      267    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      156    0.001    0.000    0.001    0.000 {built-in method compile}
     1185    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      159    0.001    0.000    0.001    0.000 sre_parse.py:190(__init__)
      203    0.001    0.000    0.001    0.000 {built-in method _getfullpathname}
        2    0.000    0.000    0.776    0.388 __init__.py:17(<module>)
       63    0.000    0.000    0.001    0.000 sre_compile.py:406(_mk_bitmap)
